Глубина манометра,Dшт,Руст,Рзаб,Рлин,Руст_1,Рзаб_1,Рлин_1,Туст,Тна шлейфе,Тзаб,Tлин,Дебит газа,Дебит ст. конд.,Дебит воды,Дебит смеси,Дебит газа_1,Дебит кон нестабильный,Дебит воды_1,Нэф,Рпл. Тек (послед точка на КВД),Рпл. Тек (Расчет по КВД),Рпл. Тек (Карноухов),Pсб,Pсб_1,Ro_c,Удельная плотность газа ,КГФ
3576.3,7.94,249.6,370.1,101.8,249.0,359.6,101.8,53.0,31.7,103.2,32.5,214.704,83.6,0.4,231.24884,1610.368866,131.3,0.4,56.8,45.25,56.5,50.45641025641024,93.6,92.3760177646188,801.0,0.6694490579710143,311.9094
3576.3,9.53,233.5,364.6,101.3,231.0,338.1,102.4,58.8,37.6,103.0,38.6,290.594,104.7,1.4,309.00166,2310.226429,158.5,1.4,56.8,45.25,56.5,50.45641025641024,92.9,91.6851714779176,801.0,0.6694490579710143,288.6003
3576.3,11.11,213.4,357.1,101.6,211.0,314.8,100.6,63.6,42.8,102.6,43.4,368.042,114.3,1.9,388.11498000000006,3039.48968,172.3,1.9,56.8,45.25,56.5,50.45641025641024,91.4,90.20478657784358,801.0,0.6694490579710143,248.7906
3576.3,12.7,191.6,347.4,98.4,187.0,291.5,99.0,64.7,46.2,102.0,46.1,434.663,121.3,3.3,455.21452,3824.082686,181.5,3.3,56.8,45.25,56.5,50.45641025641024,89.2,88.03355539106835,801.0,0.6694490579710143,223.5591
3576.3,14.29,171.9,337.69999999999993,99.2,169.0,270.3,99.5,64.0,49.4,104.4,49.9,483.283,129.8,4.6,504.58778,4299.104676,190.6,4.7,56.8,45.25,56.5,50.45641025641024,89.7,88.52701702442636,801.0,0.6694490579710143,215.1486
3576.3,9.53,199.5,286.4,106.36166898470157,199.5,286.6,106.19,57.5,38.8,102.64,38.979712100139054,251.7,76.8,0.6,268.89611999999994,1921.0,119.0,0.6,56.8,41.22431,48.3,50.45641025641024,90.7,89.51394029114236,789.8,0.675,241.130793707915
3653.0,7.94,323.1,440.5,108.88643532338313,314.0,442.7,99.16735483870968,37.0,14.0,105.42,16.204686069651743,310.7806417910448,150.07470398009968,1.2034843532338302,337.72025463982595,1784.0,492.8,2.5,63.6,53.27,56.7,56.8,99.4,98.10017271157167,798.0,0.654,385.415949386802
3653.0,9.53,272.6923076923077,388.7,89.65283935242846,268.0,388.6,86.74719354838712,48.0,21.0,105.32,22.031063511830656,375.366899128269,138.9773723536737,0.8592120921544208,398.3963089393649,3127.0,238.3,1.0,63.6,53.27,56.7,56.8,99.7,98.39624969158648,798.0,0.654,295.5028799822254
3653.0,12.7,202.15384615384613,308.8,97.8770452488688,197.0,308.7,92.45790322580648,54.0,35.0,105.22,35.40620060331823,473.779185520362,151.7921266968327,0.6965744796380082,496.8067477147512,3895.7,245.0,0.8,63.6,53.27,56.7,56.8,99.2,97.90278805822848,798.0,0.654,255.68112741124983
3653.0,14.29,165.8461538461538,270.5,79.95274967741933,162.0,270.4,81.14677419354842,52.0,34.0,105.12,33.82577935483872,488.0902193548387,143.14583225806487,0.4267214193548387,509.7342959136775,5129.0,221.2,0.4,63.6,53.27,56.7,56.8,98.9,97.60671107821368,798.0,0.654,233.96044419658497
3653.0,15.88,138.86666666666667,239.3,80.73293237250546,136.0,239.3,79.54112903225814,51.0,38.0,105.02,37.26220177383591,492.5143015521065,137.67566518847002,0.4085362305986699,513.3312706648337,5235.6,209.7,0.4,63.6,53.27,56.7,56.8,100.8,99.48186528497408,798.0,0.654,223.10946098417853
3653.0,14.29,149.88888888888889,251.3,73.30663802559425,151.0,285.3,72.57925806451617,50.0,45.32682926829268,100.21,31.994166361974468,459.3062157221207,114.87843510054844,0.3410102559414991,476.67617611957945,5209.5,172.5,0.3,63.6,53.27,56.7,56.8,97.0,95.73155687145324,798.0,0.654,199.62761225517968
3653.0,11.11,191.41176470588235,296.8,76.5720676470589,192.0,296.8,76.81951612903225,50.0,45.32682926829268,102.38,24.80197549019607,355.0154509803922,109.27444803921578,0.3291240980392155,371.5380766480197,3705.5,164.0,0.3,63.6,53.27,56.7,56.8,98.0,96.71848013816926,798.0,0.654,245.6833574872083
3650.0,7.94,337.1081081081081,458.6,91.04554516129046,333.0,458.5,89.4336774193549,60.0,90.3,105.6,31.17772258064514,287.9502949308756,106.6626898617513,0.4876661705069131,306.24343390833644,2519.8,163.0,0.5,63.6,47.33,55.4,55.2,89.6,88.42832469775475,795.0,0.682179796411318,294.587295099189
3650.0,9.53,325.8421052631579,452.8,97.7879954873648,325.0,452.7,98.17906451612896,66.0,95.5,105.49,40.51194043321302,402.789178700361,143.00573104693154,2.1840857400721982,429.87664824639,3517.8,218.9,2.2,63.6,47.33,55.4,55.2,85.5,84.3819393042191,795.0,0.682179796411318,282.24440973094613
3650.0,12.7,299.55555555555554,437.30000000000007,103.10805220883536,299.0,437.2,105.97709677419346,74.0,103.6,105.47,51.37921987951809,654.5622991967872,230.9797590361446,4.556070682730927,692.7940053879518,5599.8,354.6,4.7,63.6,47.33,55.4,55.2,93.8,92.573402417962,795.0,0.682179796411318,280.5615294373049
3650.0,14.29,280.3333333333333,426.2,107.0626261467888,280.0,426.1,106.77129032258068,75.0,106.8,105.42,52.76279816513765,742.114254587156,272.7696100917432,6.246333830275232,787.2638713911697,6020.6,421.6,6.4,63.6,47.33,55.4,55.2,92.3,91.093017517888,795.0,0.682179796411318,292.2406966150632
3650.0,15.87,256.2105263157895,414.0,109.78447484554316,255.0,413.9,109.390322580645,75.0,110.2,105.36,55.51390379523394,846.8161429832304,302.6210767872898,8.340288261253283,896.9082714797881,6943.1,469.6,8.1,63.6,47.33,55.4,55.2,87.7,86.55317049099433,795.0,0.682179796411318,284.08411224113485
3650.0,14.29,271.4736842105263,414.80000000000007,108.6331631722871,271.0,414.7,108.63999999999976,74.0,45.32682926829268,105.35,53.12523883318149,720.2693072014584,262.0141659070192,6.011751595259804,763.6386634106655,5914.3,401.1,6.1,63.6,47.33,55.4,55.2,96.3,95.04071058475203,795.0,0.682179796411318,289.1835040032944
3650.0,11.11,297.6774193548387,424.5,100.12634143706153,298.0,424.5,102.25428571428556,70.0,45.32682926829268,105.37,44.88405024311182,497.1557806591032,179.76385197190743,3.2895430037817346,526.9099877034575,4204.5,274.0,3.3,63.6,47.33,55.4,55.2,88.2,87.04663212435234,795.0,0.682179796411318,287.5175146302226
3653.0,9.53,298.57142857142856,403.4,111.38188006482996,298.0,402.9,111.61290322580646,64.0,32.0,104.42,42.44033954619124,366.2189384116693,118.27696110210712,1.4693333063209095,388.1844394216369,2724.6,184.3,1.5,63.6,43.4,54.9,52.7,88.8,87.63878608438193,788.9,0.684,254.839032065248
3653.0,11.11,285.65,399.2000000000001,121.68292972057576,288.0,396.6,123.61679999999998,68.0,36.0,104.42,49.17873581710411,470.2880016934801,145.0345469940728,2.270067061812026,495.8453589408976,3324.9,229.5,2.3,63.6,43.4,54.9,52.7,87.4,86.25709351097953,788.9,0.684,243.234996427721
3532.9955555555557,14.29,221.8,342.5786542222222,107.55553088133304,222.0,338.5311111111111,106.77,69.0,45.32682926829268,104.82777777777778,52.22178972935467,601.5,167.1,1.0,629.44012,5020.0,254.0,1.0,63.6,42.51254022222222,50.99777777777778,50.45641025641024,90.8,89.61263261781396,788.4,0.684659745226576,219.042278656448
3667.0,7.94,264.0,362.8,95.60121658986225,263.0,362.9,95.33503225806452,49.0,26.1,105.54,26.43987327188939,243.22290322580645,61.33461059907835,1.371589170506912,255.2458584923963,1924.9,101.5,1.3,63.3,39.02,48.3,50.9,93.1,91.88255613126078,787.0,0.665,198.0
3667.0,9.53,256.0,359.3,96.59738321167896,256.0,359.3,97.32183870967738,55.0,33.4,105.57,33.68865328467154,353.2155839416058,77.98768613138682,3.496397080291972,366.8591266430657,2856.2,123.1,3.5,63.3,39.02,48.3,50.9,92.8,91.586479151246,787.0,0.665,174.0
3670.0,12.7,229.8947368421053,336.3,102.40378048912564,228.0,333.1,102.293098,65.1,44.8,105.04,44.739639307486506,503.7549776125223,134.48172574777206,6.656155877896616,528.6676493768875,4152.0,195.9,6.7,63.3,37.19,48.0,50.2,95.8,94.54724895139402,778.8,0.674,140.0
3668.5,9.53,248.0,340.0,94.020527147087,248.0,339.8,94.19509677419347,59.0,32.4,104.853,33.5142857847976,338.63326752221127,66.58909279368211,1.391210256663376,350.5474474332577,2868.6,105.2,1.4,72.5398,36.75,48.4,49.7,88.8,87.63878608438193,782.53,0.66,154.0
3668.5,11.11,239.0,334.0,95.50515307582188,239.0,331.7,95.88422580645144,61.0,38.6,104.834,39.28579113018597,432.7420123986648,77.90659656652359,2.0189837386742946,445.71547971072965,3773.0,122.8,2.0,72.5398,36.75,48.4,49.7,88.1,86.94793979768073,782.53,0.66,141.0
3668.5,12.7,223.88888888888889,326.0,94.89208995037264,223.0,324.0,95.52348387096757,64.0,42.7,104.74,42.91378970223328,514.1017369727047,91.24142059553358,2.7990755583126563,528.9312668950372,4590.3,142.1,2.7,72.5398,36.75,48.4,49.7,88.8,87.63878608438193,782.53,0.66,139.0
3668.5,14.29,206.0,318.0,97.27056371490129,205.0,312.5,95.52348387096757,66.0,46.9,104.643,46.71543250539952,608.7759179265659,102.94293682505406,3.226367926565875,625.4867829411988,5452.4,161.1,3.3,72.5398,36.75,48.4,49.7,88.9,87.73747841105354,782.53,0.66,132.0
3437.0,7.5,212.0,305.56,100.8,215.0,305.6,99.7,40.0,26.0,106.5,25.9,162.152,45.4,0.6,172.04072,1168.0,79.0,0.5,44.2,36.46,47.9,48.6,99.8,98.49494201825809,782.0,0.684,219.0
3437.0,7.94,210.625,298.69,100.6,209.0,298.7,100.6,48.0,27.8,106.6,28.5,189.82,52.8,1.0,201.32084,1401.0,93.1,1.0,44.2,36.46,47.9,48.6,99.8,98.49494201825809,782.0,0.684,218.0
3437.0,9.53,193.52,278.23,100.6,193.0,278.2,100.6,54.0,35.1,106.6,36.3,250.427,63.9,1.5,264.34592,1996.0,110.8,1.6,44.2,36.46,47.9,48.6,100.1,98.79101899827288,782.0,0.684,200.0
3437.0,11.11,175.23076923076923,256.21,101.2,173.0,256.2,101.2,54.0,40.9,106.5,41.0,305.587,63.0,1.7,319.31010000000003,2545.0,115.5,1.9,44.2,36.46,47.9,48.6,100.1,98.79101899827288,782.0,0.684,161.0
3437.0,12.7,153.34615384615384,234.19,101.3,154.0,234.2,101.6,56.0,45.6,106.4,46.2,344.288,69.0,0.9,359.31710000000004,3043.0,113.2,1.0,44.2,36.46,47.9,48.6,100.3,98.98840365161608,782.0,0.684,157.0
3437.0,14.29,138.1578947368421,216.9,101.4,138.0,216.8,100.2,57.0,49.3,106.43,49.7,360.232,71.1,0.8,375.71838,3320.0,116.8,0.8,44.2,36.46,47.9,48.6,100.7,99.3831729583025,782.0,0.684,154.0
3276.0,7.5,268.0,370.0389,95.0,268.0,370.1,95.4,56.0,28.6,104.98,30.4,246.611,69.9,1.2,261.47294,1967.0,114.7,1.1,44.5,39.44,48.3,45.6,94.3,93.06686405132,785.0,0.667,222.0
3276.0,9.53,262.0,364.6788075,94.9,262.0,364.6,94.9,62.0,36.3,105.18,37.5,350.087,94.4,1.4,370.15784,2970.0,154.5,1.4,44.5,39.44,48.3,45.6,93.5,92.2773254379472,785.0,0.667,212.0
3276.0,11.11,252.0,357.1199625,97.0,252.0,357.0,96.9,66.0,42.8,105.24,43.7,452.114,117.6,1.4,477.11716,3869.0,196.7,1.4,44.5,39.44,48.3,45.6,95.3,94.05378731803602,785.0,0.667,204.0
3276.0,12.7,237.40000000000003,347.44342499999993,95.7,238.0,347.5,95.8,70.0,47.5,105.23,47.9,562.202,142.0,2.1,592.3933,5012.0,235.7,2.0,44.5,39.44,48.3,45.6,94.2,92.9681717246484,785.0,0.667,198.0
3276.0,14.3,220.0,337.878345,99.8,220.0,337.7,99.3,70.0,51.8,105.16,52.1,653.254,154.7,2.3,686.14552,5733.0,264.3,2.4,44.5,39.44,48.3,45.6,98.5,97.21194177152726,785.0,0.667,186.0
3284.0,7.94,241.1195652173913,335.20000000000005,88.7,241.0,335.5,89.0,51.0,27.0,104.68,27.2,215.336,55.4,1.1,226.53898,1773.0,93.1,1.1,44.5,35.28,40.5,41.6,89.7,88.52701702442636,782.0,0.66,201.0
3284.0,9.53,240.0,328.1,91.2,240.0,328.4,91.4,59.1,34.9,104.84,35.7,312.61,72.7,1.9,325.42891000000003,2750.0,119.2,2.0,44.5,35.28,40.5,41.6,88.9,87.73747841105354,782.0,0.66,182.0
3284.0,11.11,229.0,318.0,98.0,228.0,318.3,98.9,63.3,41.4,104.85,42.5,409.227,86.3,3.5,424.73861,3583.0,143.9,3.5,44.5,35.28,40.5,41.6,91.0,89.81001727115716,782.0,0.66,165.0
3284.0,12.7,215.0,307.8,98.6,215.0,308.1,97.2,65.0,45.8,104.78,46.3,479.085,93.5,4.7,495.62985,4165.0,156.8,4.8,44.5,35.28,40.5,41.6,94.4,93.16555637799162,782.0,0.66,153.0
3284.0,14.29,198.0,293.6,98.5,197.0,293.9,98.4,66.9,49.8,104.63,50.5,568.497,106.6,6.4,587.3609399999999,5113.0,174.3,6.5,44.5,35.28,40.5,41.6,94.0,92.7707870713052,782.0,0.66,147.0
